min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
3,2,salience_times_contention,0.8,Community Infrastructure,0.1,0.26725306762661283,0.11004161651584808,0.010041616515848076
3,2,salience_only,0.0,NPV,0.25,0.011279882073960136,0.25,0.0
3,2,salience_only,0.0,IRR,0.2,0.008590495417547908,0.2,0.0
3,2,salience_only,0.0,Geological Feasibility,0.15,0.03436198167019163,0.15,0.0
3,2,salience_only,0.0,Market Stability,0.15,0.014230436454527977,0.15,0.0
3,2,salience_only,0.0,Local Employment,0.15,0.6057626467988476,0.15,0.0
3,2,salience_only,0.0,Community Infrastructure,0.1,0.277865568223982,0.1,0.0
3,2,salience_only,0.1,NPV,0.25,0.011279882073960136,0.2470584308699843,-0.0029415691300156976
3,2,salience_only,0.1,IRR,0.2,0.008590495417547908,0.19759364973469082,-0.002406350265309193
3,2,salience_only,0.1,Geological Feasibility,0.15,0.03436198167019163,0.14857683064551142,-0.0014231693544885793
3,2,salience_only,0.1,Market Stability,0.15,0.014230436454527977,0.14827874680225323,-0.0017212531977467693
3,2,salience_only,0.1,Local Employment,0.15,0.6057626467988476,0.15703744827208643,0.007037448272086438
3,2,salience_only,0.1,Community Infrastructure,0.1,0.277865568223982,0.10145489367547372,0.0014548936754737174
3,2,salience_only,0.3,NPV,0.25,0.011279882073960136,0.24139690383398638,-0.008603096166013624
3,2,salience_only,0.3,IRR,0.2,0.008590495417547908,0.19296223823865832,-0.007037761761341688
3,2,salience_only,0.3,Geological Feasibility,0.15,0.03436198167019163,0.1458377103253312,-0.0041622896746688065
3,2,salience_only,0.3,Market Stability,0.15,0.014230436454527977,0.14496591576408238,-0.005034084235917613
3,2,salience_only,0.3,Local Employment,0.15,0.6057626467988476,0.1705821592395428,0.02058215923954282
3,2,salience_only,0.3,Community Infrastructure,0.1,0.277865568223982,0.10425507259839879,0.0042550725983987875
3,2,salience_only,0.5,NPV,0.25,0.011279882073960136,0.23601276210572966,-0.013987237894270338
3,2,salience_only,0.5,IRR,0.2,0.008590495417547908,0.18855774175953469,-0.011442258240465325
